label,text,text_len,num_words,cleaned_text
ham,"I shall book chez jules for half eight, if that's ok with you?",62,13,shall book chez jule half eight ok
ham,What time. I‘m out until prob 3 or so,37,9,time prob
ham,K. I will sent it again,23,6,k sent
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,111,21,forget own privat properti good boy alway passion kiss
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,131,26,start send blackberri torch nigeria find buyer like month tell dad buy bb anyon oh
ham,"* Was really good to see you the other day dudette, been missing you!",69,14,realli good see day dudett miss
ham,"Aight, let me know when you're gonna be around usf",50,10,aight let know gon na around usf
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?,81,12,enjoy watch play footbal basketbal anyth outdoor
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",146,30,simpson movi releas juli name band die start film green day b blue day c red day send b c
ham,Thanks  and ! Or bomb and date as my phone wanted to say! ,58,15,thank bomb date phone want say
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,72,16,send email mind lt gt time per night
spam,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",161,27,someon contact date servic enter phone becausethey fanci find call landlin pobox w rg p
ham,here is my new address -apples&pairs&all that malarky,53,8,new address appl pair malarki
ham,I am joining today formally.Pls keep praying.will talk later.,61,9,join today formal pls keep pray talk later
ham,All day working day:)except saturday and sunday..,49,7,day work day except saturday sunday
ham,Guess who spent all last night phasing in and out of the fourth dimension,73,14,guess spent last night phase fourth dimens
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,108,24,becoz lt gt jan whn al post ofic holiday cn go fr post ofic got duffer
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...,68,14,eat old airport road oredi got lot pple
ham,How are you doing. How's the queen. Are you going for the royal wedding,71,14,queen go royal wed
ham,I.ll hand her my phone to chat wit u,36,9,hand phone chat wit u
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,78,15,rightio well arent bright earli morn
ham,I am in your office na.,23,6,offic na
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,136,20,privat account statement show un redeem point call identifi code expir
ham,Ok. I asked for money how far,29,7,ok ask money far
ham,I am on the way to ur home,26,8,way ur home
ham,Hope you are not scared!,24,5,hope scare
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",263,55,plz note anyon call mobil co amp ask u type lt gt lt gt disconnect call coz iz attempt terrorist make use sim card itz confirmd nokia n motorola n verifi cnn ibn
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",159,28,contract mobil mnths latest motorola nokia etc free doubl min text orang tariff text yes callback remov record
ham,You are a very very very very bad girl. Or lady.,48,11,bad girl ladi
ham,"I'm in a meeting, call me later at",34,8,meet call later
ham,Ok lor... But buy wat?,22,5,ok lor buy wat
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",112,22,think might give miss teach til twelv lectur two damn work thing
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,152,30,freemsg today day readi horni live town love sex fun game netcollex ltd p per msg repli stop end
ham,Excellent! Are you ready to moan and scream in ecstasy?,55,10,excel readi moan scream ecstasi
ham,S...i will take mokka players only:),36,6,take mokka player
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,150,23,congratul ur award cd voucher gift guarante free entri wkli draw txt music tncs www ldew com win ppmx age
ham,Lol u still feeling sick?,25,5,lol u still feel sick
ham,Have a nice day my dear.,24,6,nice day dear
